# t, y1_x, y1_y, y1_z, y2_x, y2_y, y2_z, w_x, w_y, w_z, q_true_1, q_true_2, q_true_3, q_true_4   | dt=0.05  r1=[1,0,0]  r2=[0,1,0]  true bias=[0.005,-0.003,0.002]  meas_noise=0.01  sigma_v=0.01
0.70000000,1.01445102,-0.02963687,-0.01339370,0.00848177,0.99594436,-0.01407209,0.03410467,-0.02293590,-0.03830788,0.00012156,-0.00349933,0.00887460,0.99995449
0.75000000,0.98963516,-0.01588789,0.00088596,0.03898825,1.02895765,0.00379357,-0.03850367,-0.10834548,0.03945684,0.00013961,-0.00374918,0.00951149,0.99994773
0.80000000,0.99163261,-0.02445120,-0.01411527,0.01888717,1.01045376,0.00117152,-0.00129458,-0.05931296,-0.04739387,0.00015891,-0.00399900,0.01014878,0.99994049
0.85000000,0.99486812,-0.02211083,0.00918614,0.02287270,1.00959463,-0.00544349,-0.04714255,-0.05615808,-0.00491707,0.00017945,-0.00424880,0.01078647,0.99993278
0.90000000,1.02098318,-0.03106305,-0.00060699,0.01381629,1.00905461,0.00334428,-0.00110536,-0.01481931,-0.00175121,0.00020124,-0.00449858,0.01142455,0.99992460
0.95000000,1.00412460,-0.02867598,-0.02174650,0.01134251,1.00143475,0.01522785,0.01310469,-0.01830161,0.04033006,0.00022427,-0.00474833,0.01206302,0.99991594
1.00000000,1.01268738,-0.02321007,-0.01409812,0.03646181,1.00396476,0.01473353,0.01419408,-0.06775542,-0.03362270,0.00024855,-0.00499805,0.01270189,0.99990681
1.05000000,1.01609823,-0.00944578,-0.01228228,0.02284481,1.01425832,-0.01175858,-0.03396389,0.01577541,0.00993165,0.00027408,-0.00524774,0.01334115,0.99989719
1.10000000,0.99949741,-0.02959618,-0.00760941,0.04202996,1.00051474,0.00568403,-0.08558704,-0.01517331,-0.01011581,0.00030085,-0.00549740,0.01398080,0.99988711
1.15000000,0.98731827,-0.03802339,-0.01482426,0.03839333,0.98630832,-0.00051940,-0.01550335,-0.02764804,0.07245492,0.00032887,-0.00574703,0.01462085,0.99987654
1.20000000,1.00484342,-0.01714877,-0.01352577,0.02355474,0.99729534,0.00152576,0.01409588,-0.06148883,0.03167267,0.00035814,-0.00599663,0.01526128,0.99986549
1.25000000,1.00169850,-0.00662968,0.00629026,0.02326228,0.99662011,-0.01561026,-0.02016803,0.00112132,0.08156884,0.00038865,-0.00624619,0.01590211,0.99985397
1.30000000,0.99207741,-0.03962834,-0.03444835,0.03144929,0.98882814,-0.00634998,-0.03291532,-0.01720795,-0.05095102,0.00042040,-0.00649571,0.01654332,0.99984196
1.35000000,0.98464791,-0.01307764,-0.02634673,0.02339002,1.01777808,0.02791220,-0.04604508,-0.02946039,0.04294735,0.00045340,-0.00674520,0.01718493,0.99982947
1.40000000,1.01655353,-0.04552268,-0.01642211,0.04341385,1.00371159,-0.00498605,0.00041411,-0.07447839,0.01703658,0.00048764,-0.00699464,0.01782692,0.99981650
1.45000000,0.99654894,-0.03461720,-0.02001919,0.04163912,1.00944438,0.00024066,0.02217975,-0.01061336,0.02770729,0.00052313,-0.00724405,0.01846930,0.99980305
1.50000000,0.99194158,-0.03505951,-0.01593512,0.05913936,1.01500238,0.00245256,-0.02762636,-0.06273843,0.08098850,0.00055985,-0.00749341,0.01911206,0.99978911
1.55000000,1.00172706,-0.03470935,-0.03290420,0.04876666,1.00376295,-0.01260561,-0.01453878,-0.00119540,0.03008079,0.00059783,-0.00774273,0.01975522,0.99977469
