t,q_1,q_2,q_3,q_4,P_theta_x,P_theta_y,P_theta_z,P_beta_x,P_beta_y,P_beta_z,q_true_1,q_true_2,q_true_3,q_true_4,b_x,b_y,b_z,b_true_x,b_true_y,b_true_z
1.000000000000000000e+00,1.019303167237666369e-01,-2.884764903288984141e-03,-2.143621846202943722e-03,9.947850489173155619e-01,2.838185529869778357e-05,2.804276128284029161e-05,2.052357307161366832e-05,6.149625218756185781e-05,6.144692734665415951e-05,5.705666787766009514e-05,9.983340999999999743e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.950041699999999656e-01,2.258617054265986759e-03,-7.402395796055303255e-03,-4.721843793053424020e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.050000000000000044e+00,1.075186215508500825e-01,-1.306588601311423200e-03,-3.328476956608637707e-03,9.941966405531561524e-01,2.830361801991283023e-05,2.794538796181568255e-05,2.049545999649588342e-05,5.966007771285100760e-05,5.960984702427259136e-05,5.543742525163397356e-05,1.048071599999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.944925599999999699e-01,6.252601449609680208e-04,-8.092995102123457657e-03,4.986068568536108133e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.100000000000000089e+00,1.100983448081393340e-01,-3.557437253161859630e-04,-2.066755855234342961e-03,9.939184858111579368e-01,2.822448553295620974e-05,2.784828914551499407e-05,2.046896936770765322e-05,5.792002987423328981e-05,5.786731025901737090e-05,5.390875370030137495e-05,1.097782900000000006e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.939561000000000091e-01,8.543409863267332691e-04,-9.079200376824712870e-03,-1.594565614142355939e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.149999999999999911e+00,1.159714024074255112e-01,-1.049462574909045855e-03,1.022896907985514168e-03,9.932514717501678136e-01,2.814594056645582500e-05,2.774047374982936993e-05,2.045571331514342957e-05,5.627106355281104143e-05,5.621625787055400340e-05,5.246204955633747481e-05,1.147466800000000037e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.933947899999999720e-01,-5.001292461922421384e-04,-8.893755365717674610e-03,-3.479932325849330842e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.199999999999999956e+00,1.219036699659623579e-01,-1.908071574028035941e-03,-6.517531792074857978e-04,9.925398882309423021e-01,2.806850109249953176e-05,2.762349638136078880e-05,2.045475980232749755e-05,5.470786666330694611e-05,5.465027910385940232e-05,5.109213148018721610e-05,1.197122000000000047e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.928086400000000200e-01,-1.129829354948995489e-03,-8.957994471909900419e-03,-1.760358144664137285e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.250000000000000000e+00,1.286399743085148983e-01,1.289453039231399246e-03,-1.350029654757017037e-03,9.916896045339466115e-01,2.799290716680245450e-05,2.751173461948099090e-05,2.045201407868652322e-05,5.322529480705970442e-05,5.316486056403452371e-05,4.979270474505788444e-05,1.246747200000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.921976700000000315e-01,-3.333991158747219487e-03,-1.152377495705135362e-02,4.975340586443212755e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.300000000000000044e+00,1.339289848714485531e-01,-1.130387063487915287e-03,-2.604376052314844123e-03,9.909868649289799158e-01,2.791935235625981238e-05,2.739724411782126269e-05,2.045568799982094927e-05,5.181816206190969305e-05,5.175397995969295274e-05,4.855953300394181193e-05,1.296341299999999863e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.915618999999999961e-01,-4.372746338937366292e-03,-8.998155905696312087e-03,-3.198382105305739545e-04,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.350000000000000089e+00,1.343242534831246837e-01,-2.295620188198203068e-03,-3.852378247877134669e-03,9.909272850396180221e-01,2.784828155743605230e-05,2.728744607663693373e-05,2.045871406656082082e-05,5.048168503952024032e-05,5.041396523896765207e-05,4.738673996648581422e-05,1.345902999999999961e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.909013300000000246e-01,-1.147291939978136062e-03,-8.069976769256694341e-03,1.066662684022532098e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.399999999999999911e+00,1.407164965139983404e-01,-3.493686533726023634e-03,-1.850127708618950649e-03,9.900420389007185129e-01,2.777904443797034534e-05,2.718629196597676582e-05,2.045799110404252906e-05,4.921109429268786839e-05,4.914308131025201584e-05,4.626750137316915356e-05,1.395431000000000032e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.902159999999999851e-01,-2.448321636984241226e-03,-8.463155023048429468e-03,-1.009866633262833987e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
1.449999999999999956e+00,1.466001186200119599e-01,-3.023402044313268887e-03,-1.017897773677536128e-03,9.891906935191006056e-01,2.771267594705551868e-05,2.707453490298331833e-05,2.047144645236889020e-05,4.800216308152769847e-05,4.793241103743887537e-05,4.520184606355540682e-05,1.444924200000000103e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.895059099999999885e-01,-2.768819761463469590e-03,-8.790132717458513587e-03,-1.584104419787494503e-03,5.000000000000000104e-03,-3.000000000000000062e-03,2.000000000000000042e-03
